Date,Quarter,Ticker,PE_Ratio,PB_Ratio,Debt_to_Equity,Current_Ratio,ROE,ROA,Market_Cap,Total_Revenue,Net_Income,Altman_Z,GDP_Growth,CPI_Inflation,Fed_Funds_Rate,Unemployment_Rate,Sentiment_Score,Sentiment_Volatility,Risk_Score,Financial_Distress,Risk_Category
2000-03-31,2000-03-31,AAPL,29.29,6.27,0.126,1.812,0.2343,0.1129,585726302743,47266229626,27628172661,6.92,2.5,1.38,2.05,5.5,0.46,0.166,6.92,0,Low
2000-06-30,2000-06-30,AAPL,35.76,2.33,0.202,1.507,0.2616,0.1055,634078133013,71293593608,45801768192,5.01,2.71,2.19,2.25,5.0,0.592,0.106,5.01,0,Low
2000-09-30,2000-09-30,AAPL,23.34,5.84,0.321,1.55,0.1868,0.0689,440855485864,45601349065,11747772341,3.7,2.8,2.88,2.57,5.2,0.527,0.273,3.7,0,Low
2000-12-31,2000-12-31,AAPL,25.34,6.55,0.432,1.109,0.2215,0.0937,511572897180,44767104549,24595190429,3.21,2.89,2.24,2.25,4.1,0.397,0.391,3.21,0,Low
2001-03-31,2001-03-31,AAPL,33.21,5.91,0.461,1.48,0.2659,0.1297,603686861229,60505680103,15745422436,3.46,3.06,2.34,2.61,3.8,0.562,0.271,3.46,0,Low
2001-06-30,2001-06-30,AAPL,32.16,5.2,0.199,1.566,0.2387,0.1235,535744369591,63477289063,28837575635,5.16,3.2,1.75,3.02,4.2,0.683,0.32,5.16,0,Low
2001-09-30,2001-09-30,AAPL,35.42,3.1,0.15,1.342,0.2836,0.1456,632314536497,79606559861,53610506781,6.21,3.22,2.01,3.07,5.4,0.814,0.14,6.21,0,Low
2001-12-31,2001-12-31,AAPL,28.02,3.31,0.246,1.033,0.2432,0.1227,541215900732,48475992099,20857790829,4.38,3.2,1.71,3.05,4.2,0.546,0.172,4.38,0,Low
2002-03-31,2002-03-31,AAPL,26.73,7.78,0.334,1.52,0.2141,0.1225,478169529566,50725643480,26743351588,3.9,3.26,2.99,3.39,4.1,0.444,0.325,3.9,0,Low
2002-06-30,2002-06-30,AAPL,33.13,7.65,0.09,1.372,0.2461,0.1208,554295829644,59298093655,16641247261,8.74,3.29,1.11,2.93,4.4,0.249,0.267,8.74,0,Low
2002-09-30,2002-09-30,AAPL,33.47,3.82,0.163,1.652,0.2682,0.1418,612318051511,87044516149,34151660440,5.97,3.19,1.79,2.83,4.9,0.565,0.263,5.97,0,Low
