Date,Quarter,Ticker,PE_Ratio,PB_Ratio,Debt_to_Equity,Current_Ratio,ROE,ROA,Market_Cap,Total_Revenue,Net_Income,Altman_Z,GDP_Growth,CPI_Inflation,Fed_Funds_Rate,Unemployment_Rate,Sentiment_Score,Sentiment_Volatility,Risk_Score,Financial_Distress,Risk_Category
2000-03-31,2000-03-31,GOOGL,18.1,7.35,0.05,1.419,0.1316,0.0742,246764025204,24991321279,5743765758,13.77,2.5,2.84,1.86,4.2,0.592,0.495,13.77,0,Low
2000-06-30,2000-06-30,GOOGL,22.01,4.68,0.05,1.457,0.1464,0.0856,266085379680,24239127380,7462580116,13.85,2.71,1.89,2.22,5.4,0.657,0.214,13.85,0,Low
2000-09-30,2000-09-30,GOOGL,27.68,6.75,0.255,1.385,0.2014,0.1136,356529842199,26845350634,13294769349,4.35,2.8,1.31,1.92,4.2,0.404,0.313,4.35,0,Low
2000-12-31,2000-12-31,GOOGL,18.33,6.13,0.113,1.522,0.1457,0.0597,252289497128,19624412761,4964557625,7.06,2.89,1.93,2.82,5.0,0.625,0.462,7.06,0,Low
2001-03-31,2001-03-31,GOOGL,25.61,5.54,0.05,1.42,0.1864,0.0992,317424396735,21132057293,8565879497,13.93,3.06,2.56,2.88,5.0,0.607,0.313,13.93,0,Low
2001-06-30,2001-06-30,GOOGL,25.48,7.65,0.186,1.515,0.1719,0.0807,289340746869,29015080159,9513848339,5.09,3.2,2.38,2.75,4.4,0.59,0.303,5.09,0,Low
2001-09-30,2001-09-30,GOOGL,22.62,6.13,0.05,1.284,0.1647,0.0875,275336755026,19559310846,8385803178,13.81,3.22,2.47,2.63,4.4,0.525,0.456,13.81,0,Low
2001-12-31,2001-12-31,GOOGL,24.14,6.24,0.149,1.586,0.1904,0.1059,317909134022,36436282440,18900470049,6.05,3.2,2.23,3.02,5.4,0.8,0.234,6.05,0,Low
2002-03-31,2002-03-31,GOOGL,27.73,5.97,0.139,1.39,0.2019,0.1141,338265265467,34400526646,13195997148,6.32,3.26,2.59,2.97,3.9,0.558,0.286,6.32,0,Low
2002-06-30,2002-06-30,GOOGL,27.66,7.46,0.05,1.516,0.1868,0.0998,315502546470,29368540175,13653001330,13.97,3.29,1.28,2.96,4.8,0.608,0.331,13.97,0,Low
2002-09-30,2002-09-30,GOOGL,27.67,6.13,0.111,0.9,0.2016,0.1007,345221816162,46170802051,13131938949,7.17,3.19,2.59,2.68,4.4,0.537,0.491,7.17,0,Low
2002-12-31,2002-12-31,GOOGL,26.26,7.16,0.175,1.304,0.209,0.1021,364531407879,36957984912,23310841964,5.36,3.06,1.45,2.34,4.3,0.448,0.292,5.36,0,Low
2003-03-31,2003-03-31,GOOGL,23.65,6.15,0.123,1.261,0.1724,0.0929,307838731616,20058463123,8259988905,6.72,3.02,2.18,2.87,5.2,0.451,0.289,6.72,0,Low
2003-06-30,2003-06-30,GOOGL,27.34,3.33,0.05,1.478,0.1823,0.0905,334836741593,24310334439,10470606672,13.91,2.97,1.95,1.82,4.2,0.649,0.058,13.91,0,Low
2003-09-30,2003-09-30,GOOGL,23.09,2.4,0.206,1.595,0.1684,0.0831,319615900752,41123558474,10371294326,4.82,2.8,1.74,2.28,4.4,0.519,0.22,4.82,0,Low
2003-12-31,2003-12-31,GOOGL,19.15,6.01,0.08,1.281,0.1565,0.0845,307875992468,33821265058,7283537361,9.26,2.64,2.97,1.99,5.6,0.556,0.273,9.26,0,Low
2004-03-31,2004-03-31,GOOGL,20.03,3.55,0.219,0.987,0.1462,0.0826,298618657149,47571457909,3671384484,4.4,2.59,2.75,1.65,5.3,0.656,0.227,4.4,0,Low
2004-06-30,2004-06-30,GOOGL,20.85,7.15,0.084,1.439,0.1356,0.0575,287480350741,19980851126,8267704220,8.82,2.55,2.73,1.79,6.0,0.408,0.186,8.82,0,Low
2004-09-30,2004-09-30,GOOGL,15.03,6.64,0.102,1.621,0.1099,0.0542,241051797002,24489345229,1873744026,7.59,2.42,1.86,1.25,5.9,0.409,0.264,7.59,0,Low
2004-12-31,2004-12-31,GOOGL,12.23,5.22,0.05,1.494,0.1036,0.0515,233702341300,20698844767,4835609869,13.67,2.32,2.39,1.23,5.4,0.48,0.327,13.67,0,Low
2005-03-31,2005-03-31,GOOGL,16.49,5.47,0.077,1.208,0.1207,0.0558,277262165988,31036055182,8741446935,9.37,2.35,3.05,1.23,5.8,0.387,0.366,9.37,0,Low
2005-06-30,2005-06-30,GOOGL,15.86,6.66,0.05,1.361,0.1016,0.0551,235060596283,16490021072,4252218637,13.63,2.41,2.18,1.09,5.6,0.569,0.191,13.63,0,Low
2005-09-30,2005-09-30,GOOGL,15.26,7.67,0.115,1.362,0.1117,0.0487,257055586696,17376594780,4004354563,6.83,2.39,3.52,1.35,6.0,0.518,0.246,6.83,0,Low
2005-12-31,2005-12-31,GOOGL,13.83,7.01,0.245,1.807,0.1174,0.0524,265567137166,22225719501,4580265760,4.25,2.41,2.28,1.39,5.5,0.319,0.254,4.25,0,Low
2006-03-31,2006-03-31,GOOGL,16.6,5.25,0.183,1.568,0.1215,0.0679,267851214285,21273235053,5303326224,5.06,2.55,2.27,1.66,5.6,0.37,0.357,5.06,0,Low
2006-06-30,2006-06-30,GOOGL,19.38,6.36,0.088,1.478,0.1263,0.0556,269477219994,34515536003,5244518120,8.52,2.72,1.62,1.33,5.4,0.355,0.396,8.52,0,Low
2006-09-30,2006-09-30,GOOGL,19.08,4.99,0.135,1.552,0.1396,0.0861,287504606955,23993755573,10616300567,6.31,2.8,2.01,0.92,5.2,0.191,0.307,6.31,0,Low
2006-12-31,2006-12-31,GOOGL,17.84,2.57,0.05,1.612,0.1462,0.0764,290419257549,20733889193,6214801948,13.86,2.9,2.67,1.77,4.4,0.605,0.413,13.86,0,Low
2007-03-31,2007-03-31,GOOGL,13.5,6.25,0.119,1.566,0.1647,0.0971,316270936959,34950960104,11298069778,7.01,1.11,2.52,0.65,7.6,0.168,0.403,7.01,0,Low
