Date,Quarter,Ticker,PE_Ratio,PB_Ratio,Debt_to_Equity,Current_Ratio,ROE,ROA,Market_Cap,Total_Revenue,Net_Income,Altman_Z,GDP_Growth,CPI_Inflation,Fed_Funds_Rate,Unemployment_Rate,Sentiment_Score,Sentiment_Volatility,Risk_Score,Financial_Distress,Risk_Category
2000-03-31,2000-03-31,MSFT,29.21,4.36,0.05,1.101,0.1753,0.0883,389471517194,35214632958,13480255573,13.76,2.5,1.5,2.03,4.4,0.71,0.202,13.76,0,Low
2000-06-30,2000-06-30,MSFT,29.96,3.3,0.191,1.765,0.1644,0.0843,354230749927,30440367608,5356403884,5.12,2.71,1.82,2.29,4.0,0.693,0.27,5.12,0,Low
2000-09-30,2000-09-30,MSFT,34.77,7.49,0.16,1.098,0.2087,0.0965,437887851059,42291762787,17533538521,5.57,2.8,0.99,2.31,4.7,0.609,0.313,5.57,0,Low
2000-12-31,2000-12-31,MSFT,38.01,7.23,0.172,1.398,0.2492,0.1365,511472233574,64555225250,37870602108,5.64,2.89,1.21,2.61,5.2,0.571,0.394,5.64,0,Low
2001-03-31,2001-03-31,MSFT,31.59,5.38,0.168,1.325,0.1896,0.0946,382791651769,33772892333,19159120084,5.45,3.06,2.36,2.9,3.8,0.609,0.315,5.45,0,Low
2001-06-30,2001-06-30,MSFT,54.96,5.82,0.148,1.855,0.306,0.1609,610403163146,67365349703,28903775735,6.54,3.2,1.56,2.16,3.8,0.577,0.277,6.54,0,Low
2001-09-30,2001-09-30,MSFT,35.76,4.0,0.111,1.785,0.2148,0.0965,425592046424,31538012802,11364326276,7.46,3.22,1.46,2.24,4.1,0.632,0.448,7.46,0,Low
2001-12-31,2001-12-31,MSFT,30.32,3.47,0.292,1.392,0.1973,0.0936,390357596853,49564276601,15572191162,3.96,3.2,2.07,3.18,4.3,0.52,0.28,3.96,0,Low
2002-03-31,2002-03-31,MSFT,45.75,5.03,0.323,1.321,0.2749,0.1679,545703675406,53552689055,44030756811,4.15,3.26,2.68,3.14,4.5,0.741,0.342,4.15,0,Low
2002-06-30,2002-06-30,MSFT,44.27,3.2,0.319,1.257,0.2466,0.1326,493793588227,56337488698,33264534304,3.96,3.29,2.03,2.93,3.8,0.413,0.191,3.96,0,Low
2002-09-30,2002-09-30,MSFT,35.65,2.04,0.107,1.651,0.2143,0.1115,434870194726,52023880831,22322409302,7.71,3.19,2.26,2.82,3.8,0.63,0.199,7.71,0,Low
2002-12-31,2002-12-31,MSFT,35.77,4.8,0.084,0.842,0.2349,0.1095,485568126918,51599028876,25566670761,8.95,3.06,1.19,2.13,4.5,0.522,0.284,8.95,0,Low
2003-03-31,2003-03-31,MSFT,33.12,3.98,0.185,1.319,0.1992,0.1035,421637937733,27640664871,4966155012,5.17,3.02,2.28,2.24,4.3,0.649,0.242,5.17,0,Low
2003-06-30,2003-06-30,MSFT,33.15,7.38,0.201,1.231,0.1823,0.086,397001901650,46700759080,22834806511,4.79,2.97,2.54,1.6,4.9,0.658,0.35,4.79,0,Low
2003-09-30,2003-09-30,MSFT,29.15,3.2,0.195,1.677,0.1754,0.0945,394567947347,46387027716,8523224745,5.07,2.8,2.13,2.22,5.3,0.419,0.292,5.07,0,Low
2003-12-31,2003-12-31,MSFT,24.93,7.24,0.296,1.542,0.1681,0.0825,391962091405,48519590731,19079857844,3.91,2.64,1.33,1.68,4.9,0.497,0.337,3.91,0,Low
2004-03-31,2004-03-31,MSFT,21.15,7.81,0.216,1.29,0.1274,0.0644,308443813440,31769831237,10244603541,4.46,2.59,1.95,1.45,6.2,0.618,0.288,4.46,0,Low
2004-06-30,2004-06-30,MSFT,25.9,6.46,0.136,1.648,0.139,0.0748,349199444121,37298860987,9230029774,6.28,2.55,2.69,1.59,5.8,0.387,0.342,6.28,0,Low
2004-09-30,2004-09-30,MSFT,17.56,7.65,0.304,1.562,0.1059,0.0422,275258772221,33727197839,7533840112,3.62,2.42,1.78,1.25,5.1,0.375,0.292,3.62,0,Low
2004-12-31,2004-12-31,MSFT,20.86,2.1,0.162,1.217,0.1459,0.0683,389943418095,38525457748,8095762206,5.39,2.32,2.59,1.67,5.7,0.537,0.32,5.39,0,Low
2005-03-31,2005-03-31,MSFT,21.2,7.05,0.071,1.487,0.128,0.0796,348584944587,31460817177,11191196107,10.31,2.35,2.49,1.11,6.1,0.255,0.259,10.31,0,Low
2005-06-30,2005-06-30,MSFT,21.0,5.88,0.098,1.455,0.111,0.0593,304285844396,29787870119,6352945162,7.81,2.41,2.49,1.07,5.9,0.315,0.35,7.81,0,Low
2005-09-30,2005-09-30,MSFT,20.98,2.96,0.137,1.758,0.1267,0.0666,345553150914,35259273142,7905209254,6.24,2.39,2.26,1.39,4.6,0.398,0.397,6.24,0,Low
2005-12-31,2005-12-31,MSFT,21.95,7.42,0.167,1.512,0.1536,0.08,411971030393,45657297170,9448163164,5.45,2.41,1.93,1.15,5.7,0.539,0.045,5.45,0,Low
2006-03-31,2006-03-31,MSFT,20.83,5.91,0.11,1.595,0.1258,0.0621,328619903984,29363757823,10509506973,7.24,2.55,1.28,1.53,4.7,0.284,0.271,7.24,0,Low
2006-06-30,2006-06-30,MSFT,25.15,2.09,0.135,1.266,0.1353,0.0598,341960540851,33086600324,11354621998,6.08,2.72,2.18,1.06,5.0,0.432,0.255,6.08,0,Low
2006-09-30,2006-09-30,MSFT,25.36,2.31,0.218,1.69,0.1531,0.0765,373658857453,24958345580,7853822719,4.65,2.8,1.85,1.98,5.6,0.431,0.226,4.65,0,Low
2006-12-31,2006-12-31,MSFT,27.52,2.99,0.349,1.668,0.1861,0.1045,438158352887,43569483737,10717857106,3.77,2.9,1.25,1.99,5.2,0.432,0.36,3.77,0,Low
2007-03-31,2007-03-31,MSFT,18.04,5.37,0.16,1.588,0.1815,0.075,413184243946,28171562185,13575462386,5.62,1.11,1.76,0.89,8.5,0.421,0.154,5.62,0,Low
2007-06-30,2007-06-30,MSFT,21.21,7.9,0.236,1.56,0.1781,0.1093,393104197963,39895608952,17324403035,4.57,1.31,2.15,1.29,9.2,0.16,0.325,4.57,0,Low
2007-09-30,2007-09-30,MSFT,19.1,6.87,0.19,1.315,0.1784,0.0985,383511955036,26393400133,11908380570,5.04,1.41,2.37,1.61,8.7,0.143,0.322,5.04,0,Low
2007-12-31,2007-12-31,MSFT,20.41,4.96,0.346,1.414,0.2128,0.0897,447716060624,51101675631,10225185447,3.64,1.5,2.43,1.37,7.7,0.19,0.401,3.64,0,Low
2008-03-31,2008-03-31,MSFT,39.55,5.17,0.206,1.451,0.2386,0.105,493822165766,50250931028,28099950974,4.92,3.66,1.98,2.48,3.9,0.57,0.408,4.92,0,Low
2008-06-30,2008-06-30,MSFT,47.69,6.57,0.227,1.708,0.2668,0.1328,545682169747,38922187675,24818773956,4.9,3.81,2.36,3.45,4.9,0.71,0.318,4.9,0,Low
2008-09-30,2008-09-30,MSFT,34.48,2.27,0.291,1.347,0.2081,0.1244,422805048575,36789620987,13828928105,4.11,3.82,2.08,2.8,3.1,0.688,0.434,4.11,0,Low
2008-12-31,2008-12-31,MSFT,31.16,5.35,0.245,1.276,0.2037,0.0898,413283680433,39682603082,12618911579,4.3,3.81,2.27,3.32,4.5,0.533,0.149,4.3,0,Low
2009-03-31,2009-03-31,MSFT,38.07,7.39,0.069,1.69,0.2298,0.1119,467745592869,41275370468,23936417234,10.85,3.87,2.2,3.08,3.6,0.654,0.445,10.85,0,Low
2009-06-30,2009-06-30,MSFT,44.77,5.69,0.096,1.97,0.2506,0.1271,514438084480,50295494476,27115625599,8.56,3.89,2.42,2.45,4.0,0.673,0.412,8.56,0,Low
2009-09-30,2009-09-30,MSFT,35.54,5.12,0.278,1.5,0.2147,0.0959,446607673675,47580467953,19353629432,4.12,3.8,2.7,2.13,5.9,0.66,0.335,4.12,0,Low
2009-12-31,2009-12-31,MSFT,33.0,2.46,0.12,1.325,0.2177,0.0779,461325366778,52327477920,19226328504,6.81,3.67,2.2,2.44,4.1,0.556,0.269,6.81,0,Low
2010-03-31,2010-03-31,MSFT,34.22,4.76,0.315,1.791,0.2069,0.0877,448714913256,42994065261,12133776947,3.93,3.63,2.46,2.4,4.5,0.595,0.217,3.93,0,Low
2010-06-30,2010-06-30,MSFT,36.36,2.98,0.258,1.642,0.2011,0.1175,448503309971,46210085063,17187374563,4.44,3.57,2.91,2.42,5.2,0.485,0.286,4.44,0,Low
2010-09-30,2010-09-30,MSFT,29.32,3.4,0.196,1.463,0.1775,0.0849,408711001234,51316728998,18504683023,4.93,3.41,2.16,1.99,5.1,0.684,0.32,4.93,0,Low
2010-12-31,2010-12-31,MSFT,23.87,6.65,0.314,1.654,0.162,0.0804,386397848545,59835139091,11540372877,3.82,3.25,1.68,1.88,4.7,0.515,0.385,3.82,0,Low
2011-03-31,2011-03-31,MSFT,28.7,7.88,0.16,1.577,0.1741,0.0936,430983024050,43684273930,23298159412,5.71,3.2,1.85,1.84,5.4,0.594,0.301,5.71,0,Low
2011-06-30,2011-06-30,MSFT,30.12,2.78,0.234,1.086,0.1629,0.0904,418233516156,37184748199,8801927812,4.32,3.15,2.69,1.27,5.5,0.585,0.296,4.32,0,Low
2011-09-30,2011-09-30,MSFT,23.92,2.02,0.198,1.126,0.1454,0.0786,386174067318,38623770184,14017176257,4.73,3.03,1.83,1.22,6.1,0.513,0.243,4.73,0,Low
2011-12-31,2011-12-31,MSFT,17.62,6.79,0.176,1.306,0.1242,0.0608,339116636369,35020115364,9596002556,5.06,2.93,1.91,1.09,5.6,0.442,0.324,5.06,0,Low
2012-03-31,2012-03-31,MSFT,22.46,3.3,0.337,1.066,0.1367,0.08,380185455800,29974214226,6284874948,3.46,2.96,2.77,1.66,5.6,0.411,0.3,3.46,0,Low
2012-06-30,2012-06-30,MSFT,18.4,7.0,0.315,1.423,0.0981,0.0532,274556387757,36783480105,11363440524,3.55,3.02,1.98,1.4,5.9,0.462,0.449,3.55,0,Low
2012-09-30,2012-09-30,MSFT,19.06,3.04,0.358,1.384,0.1161,0.055,323389736714,26051836406,7003893587,3.33,3.0,2.71,1.07,5.2,0.503,0.232,3.33,0,Low
2012-12-31,2012-12-31,MSFT,19.08,3.56,0.15,1.484,0.1347,0.0577,368848802033,40316797809,12249291767,5.71,3.02,1.52,1.62,6.3,0.333,0.255,5.71,0,Low
2013-03-31,2013-03-31,MSFT,20.29,7.57,0.326,1.366,0.1235,0.0649,329636941346,35346842718,7284525002,3.54,3.16,2.9,1.39,4.5,0.303,0.391,3.54,0,Low
2013-06-30,2013-06-30,MSFT,28.08,2.17,0.232,1.635,0.1522,0.0716,393171795117,38347484610,8534461864,4.43,3.33,2.53,1.56,4.8,0.383,0.397,4.43,0,Low
2013-09-30,2013-09-30,MSFT,22.49,6.08,0.277,1.38,0.1367,0.0731,341184464938,32321053626,8813313659,3.92,3.41,2.6,1.87,5.3,0.536,0.414,3.92,0,Low
2013-12-31,2013-12-31,MSFT,28.58,4.9,0.246,1.567,0.1945,0.106,468480283697,68752885937,22449828666,4.47,3.51,2.5,2.12,5.9,0.544,0.163,4.47,0,Low
2014-03-31,2014-03-31,MSFT,32.28,5.49,0.064,1.684,0.196,0.1088,456547479065,49698374967,19020264596,11.45,3.72,2.64,2.04,5.0,0.795,0.158,11.45,0,Low
