Quarter,GDP_Growth,CPI_Inflation,Fed_Funds_Rate,Unemployment_Rate,Date
2000-03-31,2.5,1.38,2.05,5.5,2000-03-31
2000-06-30,2.71,2.19,2.25,5.0,2000-06-30
2000-09-30,2.8,2.88,2.57,5.2,2000-09-30
2000-12-31,2.89,2.24,2.25,4.1,2000-12-31
2001-03-31,3.06,2.34,2.61,3.8,2001-03-31
2001-06-30,3.2,1.75,3.02,4.2,2001-06-30
2001-09-30,3.22,2.01,3.07,5.4,2001-09-30
2001-12-31,3.2,1.71,3.05,4.2,2001-12-31
2002-03-31,3.26,2.99,3.39,4.1,2002-03-31
2002-06-30,3.29,1.11,2.93,4.4,2002-06-30
2002-09-30,3.19,1.79,2.83,4.9,2002-09-30
2002-12-31,3.06,2.58,2.99,4.1,2002-12-31
2003-03-31,3.02,2.01,2.68,5.3,2003-03-31
2003-06-30,2.97,2.42,2.25,4.3,2003-06-30
2003-09-30,2.8,2.13,2.35,4.9,2003-09-30
2003-12-31,2.64,2.38,2.29,4.8,2003-12-31
2004-03-31,2.59,2.3,1.42,5.7,2004-03-31
2004-06-30,2.55,3.14,1.68,5.7,2004-06-30
2004-09-30,2.42,2.16,1.22,5.6,2004-09-30
2004-12-31,2.32,3.09,1.4,5.3,2004-12-31
2005-03-31,2.35,2.18,1.24,5.7,2005-03-31
2005-06-30,2.41,2.57,1.15,6.2,2005-06-30
2005-09-30,2.39,1.62,0.83,6.0,2005-09-30
2005-12-31,2.41,2.51,1.67,5.9,2005-12-31
2006-03-31,2.55,2.01,1.41,5.8,2006-03-31
2006-06-30,2.72,2.67,1.54,6.2,2006-06-30
2006-09-30,2.8,2.69,1.45,5.6,2006-09-30
2006-12-31,2.9,2.18,2.27,5.1,2006-12-31
2007-03-31,1.11,2.33,1.29,8.1,2007-03-31
2007-06-30,1.31,2.37,1.34,7.6,2007-06-30
2007-09-30,1.41,2.81,1.58,9.0,2007-09-30
2007-12-31,1.5,2.44,1.77,7.7,2007-12-31
2008-03-31,3.66,1.62,3.03,4.0,2008-03-31
2008-06-30,3.81,2.24,3.2,4.9,2008-06-30
2008-09-30,3.82,2.8,2.63,3.9,2008-09-30
2008-12-31,3.81,2.42,3.3,4.0,2008-12-31
2009-03-31,3.87,3.35,2.42,5.1,2009-03-31
2009-06-30,3.89,2.12,2.08,4.3,2009-06-30
2009-09-30,3.8,2.31,2.76,4.2,2009-09-30
2009-12-31,3.67,1.75,2.32,5.2,2009-12-31
2010-03-31,3.63,2.22,2.61,4.9,2010-03-31
2010-06-30,3.57,2.64,2.16,5.7,2010-06-30
2010-09-30,3.41,2.8,1.43,5.2,2010-09-30
2010-12-31,3.25,3.96,1.7,5.2,2010-12-31
2011-03-31,3.2,2.48,1.4,5.0,2011-03-31
2011-06-30,3.15,1.98,1.57,5.3,2011-06-30
2011-09-30,3.03,2.83,1.96,5.2,2011-09-30
2011-12-31,2.93,2.5,1.16,5.3,2011-12-31
2012-03-31,2.96,2.53,1.01,5.3,2012-03-31
2012-06-30,3.02,2.76,1.07,5.6,2012-06-30
2012-09-30,3.0,3.22,1.64,5.3,2012-09-30
2012-12-31,3.02,3.13,0.92,5.2,2012-12-31
2013-03-31,3.16,1.97,1.11,5.0,2013-03-31
2013-06-30,3.33,2.75,0.92,6.3,2013-06-30
2013-09-30,3.41,3.26,1.61,5.1,2013-09-30
2013-12-31,3.51,3.35,1.1,5.2,2013-12-31
2014-03-31,3.72,2.67,1.18,5.6,2014-03-31
2014-06-30,3.92,2.55,2.31,4.1,2014-06-30
2014-09-30,4.02,2.87,2.88,5.0,2014-09-30
2014-12-31,4.11,2.51,2.91,3.7,2014-12-31
2015-03-31,4.27,2.19,2.77,3.7,2015-03-31
2015-06-30,4.42,2.68,2.67,4.5,2015-06-30
2015-09-30,4.43,2.35,3.0,5.3,2015-09-30
2015-12-31,4.42,2.16,3.23,5.2,2015-12-31
2016-03-31,4.48,2.56,3.06,4.4,2016-03-31
2016-06-30,4.5,2.87,2.52,4.0,2016-06-30
2016-09-30,4.4,3.18,2.84,4.1,2016-09-30
2016-12-31,4.28,2.87,2.62,4.9,2016-12-31
